dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20181105,NULL,NULL,揶쏅벡???0.16497160426581606,0.832942072,0.438553604,0.559360072,0.211160355,0.788243814,0.395803202,0.603608301,
20181105,NULL,NULL,?겸뫗猿??ㅻ즲,0.173540457,0.82450752,0.469982284,0.528059935,0.231531012,0.767911884,0.401995525,0.597443052
20181105,NULL,NULL,???袁㏉굝????0.154547392,0.842847909,0.453949953,0.543439209,0.189881572,0.808919406,0.368001271,0.630795616,
20181105,NULL,NULL,?봔?怨뚰굝????0.168498206,0.830464816,0.46155659,0.537397607,0.195780474,0.803868718,0.373850186,0.625805625,
20181105,NULL,NULL,?袁⑥뵬?브낮猷?0.164580368,0.833357531,0.458633776,0.539304123,0.196949841,0.802610834,0.390898279,0.608662396,
20181105,0,NULL,NULL,0.056945854,0.924150963,0.113266822,0.86782453,0.126363978,0.862786977,0.219857929,0.76929849
20181105,50,NULL,NULL,0.179917133,0.819927822,0.528575174,0.471268042,0.192214815,0.807750698,0.429549492,0.570416311
20181105,NULL,NULL,?용쵐竊쒏꽴臾믩열??0.16401227064716986,0.834201028,0.485520644,0.512694371,0.186983006,0.812534704,0.381593266,0.617926161,
20181105,NULL,NULL,?袁⑥뵬??ㅻ즲,0.170977472,0.827215273,0.453203141,0.544986467,0.204130029,0.795386782,0.399986529,0.599534988
20181105,60,NULL,NULL,0.152327796,0.84700302,0.430738855,0.56859055,0.165589258,0.834307754,0.387587748,0.612315378
20181105,70,NULL,NULL,0.110866502,0.882192546,0.317219712,0.675840422,0.116521081,0.883109604,0.285088612,0.714567056
20181105,NULL,1,NULL,0.195737352,0.803301874,0.535713973,0.463322569,0.2154917,0.784206073,0.404189414,0.595509539
20181105,NULL,2,NULL,0.137717791,0.861165767,0.418634531,0.580246892,0.17057487,0.829138828,0.345269435,0.654445612
20181112,30,NULL,NULL,0.188815065,0.811056612,0.540086961,0.459784132,0.223131233,0.776832229,0.391618702,0.608343882
20181112,50,NULL,NULL,0.180227443,0.819649732,0.533264837,0.466610609,0.192621107,0.807342564,0.426074839,0.573890274
20181112,NULL,NULL,???닌덊굝????0.153708504,0.846040522,0.469617879,0.530132248,0.177352627,0.82235457,0.373325669,0.626380427,
20181112,NULL,NULL,?겸뫗猿??ㅻ즲,0.174301726,0.824997729,0.470534529,0.528764926,0.230958001,0.768412939,0.411206687,0.588161394
20181112,NULL,NULL,野껋럡由??0.17508476092983505,0.824911914,0.50409726,0.495899415,0.198937292,0.801057304,0.383788499,0.616206098,
20181112,NULL,NULL,???袁㏉굝????0.155658504,0.843551932,0.4575421,0.541666301,0.197817009,0.80091928,0.376622622,0.622127912,
20181112,NULL,NULL,??뽰뒻?諛명??0.1641188699282464,0.835857754,0.486297735,0.513679149,0.181139998,0.818815328,0.349495606,0.6504605,
20181112,NULL,NULL,?紐꾩퓝?용쵐肉??0.17637470270579847,0.823320379,0.49922485,0.500470231,0.193872488,0.805937915,0.371313168,0.628495281,
20181112,NULL,NULL,野껋럩湲??ㅻ즲,0.166335673,0.833443986,0.461265535,0.538515009,0.201275693,0.798462375,0.390121882,0.609617071
20181112,NULL,NULL,揶쏅벡???0.1671878294527217,0.832343453,0.44343177,0.556097682,0.216085749,0.783275257,0.398251326,0.601118835,
20181112,NULL,NULL,?紐꾧텦?용쵐肉??0.17220836114518878,0.825621897,0.45943679,0.5383908,0.205257407,0.793800504,0.390214514,0.608824714,
20181112,NULL,NULL,?袁⑥뵬?브낮猷?0.164175724,0.835325063,0.460189261,0.539309828,0.19957082,0.799897705,0.390015136,0.609453389,
20181112,NULL,NULL,?袁⑥뵬??ㅻ즲,0.171098392,0.828407494,0.452129585,0.547376301,0.208839848,0.790712947,0.397015918,0.602538441
