,date,confirmed
397,20210221,416
398,20210222,332
399,20210223,356
400,20210224,440
401,20210225,395
402,20210226,387
403,20210227,415
404,20210228,355
405,20210301,355
406,20210302,344
407,20210303,444
408,20210304,424
409,20210305,398
410,20210306,418
411,20210307,416
412,20210308,346
413,20210309,446
414,20210310,470
415,20210311,465
416,20210312,488
417,20210313,490
418,20210314,459
419,20210315,379
420,20210316,363
421,20210317,469
422,20210318,445
423,20210319,463
424,20210320,447
425,20210321,456
426,20210322,415
427,20210323,346
428,20210324,428
429,20210325,430
430,20210326,489
431,20210327,505
432,20210328,482
433,20210329,382
434,20210330,447
435,20210331,506
436,20210401,551
437,20210402,557
438,20210403,543
439,20210404,543
440,20210405,473
441,20210406,477
442,20210407,668
443,20210408,700
444,20210409,671
445,20210410,677
446,20210411,614
447,20210412,587
448,20210413,542
449,20210414,731
450,20210415,698
451,20210416,673
452,20210417,658
453,20210418,671
454,20210419,532
455,20210420,549
456,20210421,731
457,20210422,735
458,20210423,797
459,20210424,777
460,20210425,644
461,20210426,499
462,20210427,512
463,20210428,769
464,20210429,679
465,20210430,661
466,20210501,627
467,20210502,606
468,20210503,488
469,20210504,541
470,20210505,676
471,20210506,574
472,20210507,525
473,20210508,701
474,20210509,564
475,20210510,463
476,20210511,510
477,20210512,635
478,20210513,715
479,20210514,747
480,20210515,681
481,20210516,610
482,20210517,619
483,20210518,528
484,20210519,654
485,20210520,646
486,20210521,561
487,20210522,666
488,20210523,585
489,20210524,538
490,20210525,516
491,20210526,707
492,20210527,629
493,20210528,587
