,dt,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r
20,20181029,0.840768581,0.476197315,0.523589181,0.182137124,0.816699114,0.39090511,0.60792781
21,20181029,0.111553878,0.888194613,0.322819077,0.676922617,0.148833428,0.850405249,0.274546967
22,20181029,0.112527121,0.886799235,0.329154331,0.67017968,0.122540883,0.871012471,0.300018947
23,20181029,0.834753003,0.451836644,0.547850825,0.210789957,0.786718935,0.404889499,0.592623048
24,20181029,0.058556029,0.937308844,0.118007263,0.877832882,0.127306196,0.847443429,0.226617156
25,20181029,0.188370615,0.811557302,0.540567301,0.459359439,0.221730552,0.778149995,0.39828531
26,20181029,0.181123759,0.818826899,0.554550081,0.445400577,0.194708728,0.805207628,0.406074087
27,20181029,0.197807988,0.801963878,0.543314163,0.456454582,0.219941542,0.779049611,0.417063068
28,20181105,0.841198996,0.473715412,0.525179982,0.177136333,0.822587516,0.378461443,0.621262405
29,20181105,0.839199089,0.484064289,0.515836825,0.177183669,0.822774324,0.344361065,0.655597189
30,20181105,0.159679016,0.837903498,0.439981124,0.557597677,0.210999755,0.788212983,0.387811721
31,20181105,0.179630513,0.820245648,0.549482089,0.45039302,0.19135642,0.808612554,0.391958711
32,20181105,0.821173869,0.463407347,0.517815129,0.211914383,0.782896823,0.38956379,0.605155669
33,20181105,0.821244515,0.462535135,0.533537219,0.206545557,0.792383993,0.400329731,0.598634435
34,20181105,0.824822148,0.503348242,0.49663752,0.195409018,0.804586585,0.376188886,0.623806717
35,20181105,0.163467775,0.835564575,0.44440686,0.554624381,0.203124397,0.796598498,0.399027822
36,20181105,0.165566137,0.83367905,0.46390093,0.535340705,0.199763893,0.799981247,0.394477043
37,20181105,0.806162128,0.490608465,0.500400692,0.202593782,0.79544692,0.430218214,0.56785109
38,20181105,0.105602099,0.893557409,0.317297686,0.681849403,0.143259213,0.856569189,0.261742971
39,20181105,0.167392869,0.831570308,0.478516777,0.520443985,0.193548336,0.806157217,0.375405047
40,20181105,0.199772262,0.799775955,0.489734989,0.50980986,0.263532799,0.736391413,0.388047947
41,20181105,0.826575389,0.494615441,0.504273019,0.187543919,0.812271979,0.363339566,0.636473362
42,20181105,0.187168302,0.812658937,0.53731329,0.462513948,0.220218276,0.779748523,0.385899855
43,20181105,0.832942072,0.438553604,0.559360072,0.211160355,0.788243814,0.395803202,0.603608301
44,20181105,0.173540457,0.82450752,0.469982284,0.528059935,0.231531012,0.767911884,0.401995525
45,20181105,0.842847909,0.453949953,0.543439209,0.189881572,0.808919406,0.368001271,0.630795616
46,20181105,0.830464816,0.46155659,0.537397607,0.195780474,0.803868718,0.373850186,0.625805625
47,20181105,0.833357531,0.458633776,0.539304123,0.196949841,0.802610834,0.390898279,0.608662396
48,20181105,0.056945854,0.924150963,0.113266822,0.86782453,0.126363978,0.862786977,0.219857929
49,20181105,0.179917133,0.819927822,0.528575174,0.471268042,0.192214815,0.807750698,0.429549492
50,20181105,0.834201028,0.485520644,0.512694371,0.186983006,0.812534704,0.381593266,0.617926161
51,20181105,0.170977472,0.827215273,0.453203141,0.544986467,0.204130029,0.795386782,0.399986529
52,20181105,0.152327796,0.84700302,0.430738855,0.56859055,0.165589258,0.834307754,0.387587748
53,20181105,0.110866502,0.882192546,0.317219712,0.675840422,0.116521081,0.883109604,0.285088612
54,20181105,0.195737352,0.803301874,0.535713973,0.463322569,0.2154917,0.784206073,0.404189414
55,20181105,0.137717791,0.861165767,0.418634531,0.580246892,0.17057487,0.829138828,0.345269435
56,20181112,0.188815065,0.811056612,0.540086961,0.459784132,0.223131233,0.776832229,0.391618702
57,20181112,0.180227443,0.819649732,0.533264837,0.466610609,0.192621107,0.807342564,0.426074839
58,20181112,0.846040522,0.469617879,0.530132248,0.177352627,0.82235457,0.373325669,0.626380427
59,20181112,0.174301726,0.824997729,0.470534529,0.528764926,0.230958001,0.768412939,0.411206687
60,20181112,0.824911914,0.50409726,0.495899415,0.198937292,0.801057304,0.383788499,0.616206098
61,20181112,0.843551932,0.4575421,0.541666301,0.197817009,0.80091928,0.376622622,0.622127912
62,20181112,0.835857754,0.486297735,0.513679149,0.181139998,0.818815328,0.349495606,0.6504605
63,20181112,0.823320379,0.49922485,0.500470231,0.193872488,0.805937915,0.371313168,0.628495281
64,20181112,0.166335673,0.833443986,0.461265535,0.538515009,0.201275693,0.798462375,0.390121882
65,20181112,0.832343453,0.44343177,0.556097682,0.216085749,0.783275257,0.398251326,0.601118835
66,20181112,0.825621897,0.45943679,0.5383908,0.205257407,0.793800504,0.390214514,0.608824714
67,20181112,0.835325063,0.460189261,0.539309828,0.19957082,0.799897705,0.390015136,0.609453389
68,20181112,0.171098392,0.828407494,0.452129585,0.547376301,0.208839848,0.790712947,0.397015918
69,20181112,0.81965946,0.471119219,0.514536847,0.224756161,0.769320474,0.407309224,0.586757422
70,20181112,0.138455169,0.861142231,0.417765537,0.581831528,0.174009903,0.825693986,0.347855005
71,20181112,0.180364301,0.819540482,0.551714755,0.448189505,0.195828877,0.804143395,0.398671508
